Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
M-AMD-000112-L_crop_1088-0500-1142_Vglut3	M-AMD-000112-L_crop_1088-0500-1142_Vglut3	train	1088-0500-1142	31	41689.7	1022.0	52453.0	(512, 512, 256)	27.0	4.0
M-AMD-N142-R_crop_0477-0765-0124_Vglut3	M-AMD-N142-R_crop_0477-0765-0124_Vglut3	train	0477-0765-0124	29	36547.6	3387.0	47265.0	(512, 512, 256)	28.0	1.0
M-AMD-N142-R_crop_0818-1353-0331_Vglut3	M-AMD-N142-R_crop_0818-1353-0331_Vglut3	train	0818-1353-0331	26	36061.0	6695.0	47902.0	(512, 512, 256)	26.0	0.0
M-AMD-N142-R_crop_0868-0463-1046_Vglut3	M-AMD-N142-R_crop_0868-0463-1046_Vglut3	train	0868-0463-1046	25	16151.9	7894.0	23160.0	(512, 512, 256)	25.0	0.0
M-AMD-N142-R_crop_0922-0428-0309_Vglut3	M-AMD-N142-R_crop_0922-0428-0309_Vglut3	train	0922-0428-0309	19	40066.4	8384.0	55153.0	(512, 512, 256)	18.0	1.0
M-AMD-N142-R_crop_1213-0848-0665_Vglut3	M-AMD-N142-R_crop_1213-0848-0665_Vglut3	train	1213-0848-0665	26	33967.7	2353.0	47847.0	(512, 512, 256)	26.0	0.0
M-AMD-N153-L_crop_0478-1191-0754_Vglut3	M-AMD-N153-L_crop_0478-1191-0754_Vglut3	train	0478-1191-0754	34	40914.8	1750.0	65104.0	(512, 512, 256)	33.0	1.0
M-AMD-N153-L_crop_0704-0583-1064_Vglut3	M-AMD-N153-L_crop_0704-0583-1064_Vglut3	train	0704-0583-1064	22	50860.4	11469.0	79259.0	(512, 512, 256)	18.0	4.0
M-AMD-N153-L_crop_0704-0814-0162_Vglut3	M-AMD-N153-L_crop_0704-0814-0162_Vglut3	train	0704-0814-0162	32	31509.2	2953.0	38463.0	(512, 512, 256)	29.0	3.0
M-AMD-N153-L_crop_0912-1329-0709_Vglut3	M-AMD-N153-L_crop_0912-1329-0709_Vglut3	train	0912-1329-0709	25	38229.5	25591.0	47427.0	(512, 512, 256)	24.0	1.0
M-AMD-N153-L_crop_1197-0749-0511_Vglut3	M-AMD-N153-L_crop_1197-0749-0511_Vglut3	train	1197-0749-0511	34	40163.9	13038.0	48476.0	(512, 512, 256)	31.0	3.0
M-AMD-N75-L_crop_0805-1405-0846_Vglut3	M-AMD-N75-L_crop_0805-1405-0846_Vglut3	train	0805-1405-0846	30	20320.5	1051.0	29744.0	(512, 512, 256)	30.0	0.0
M-AMD-N75-L_crop_0864-0643-0355_Vglut3	M-AMD-N75-L_crop_0864-0643-0355_Vglut3	train	0864-0643-0355	20	44197.1	13572.0	63574.0	(512, 512, 256)	18.0	2.0
M-AMD-N75-L_crop_0866-0564-1193_Vglut3	M-AMD-N75-L_crop_0866-0564-1193_Vglut3	train	0866-0564-1193	22	22994.0	3858.0	29495.0	(512, 512, 256)	22.0	0.0
M-AMD-N89-L_crop_0749-1318-0423_Vglut3	M-AMD-N89-L_crop_0749-1318-0423_Vglut3	train	0749-1318-0423	37	27935.5	2416.0	41715.0	(512, 512, 256)	35.0	2.0
M-AMD-N89-L_crop_0902-0574-0987_Vglut3	M-AMD-N89-L_crop_0902-0574-0987_Vglut3	train	0902-0574-0987	39	33110.2	2077.0	48912.0	(512, 512, 256)	37.0	2.0
M-AMD-N89-L_crop_1166-0628-0470_Vglut3	M-AMD-N89-L_crop_1166-0628-0470_Vglut3	train	1166-0628-0470	36	32193.6	5153.0	56524.0	(512, 512, 256)	35.0	1.0
M-AMD-N89-L_crop_1232-1212-0457_Vglut3	M-AMD-N89-L_crop_1232-1212-0457_Vglut3	train	1232-1212-0457	36	24266.1	2347.0	41693.0	(512, 512, 256)	35.0	1.0
M-AMD-N89-L_crop_1245-1102-1004_Vglut3	M-AMD-N89-L_crop_1245-1102-1004_Vglut3	train	1245-1102-1004	31	20891.0	8856.0	25346.0	(512, 512, 256)	30.0	1.0
M-AMD-N97-L_crop_0198-0855-0380_Vglut3	M-AMD-N97-L_crop_0198-0855-0380_Vglut3	train	0198-0855-0380	30	35597.7	4525.0	44922.0	(512, 512, 256)	29.0	1.0
M-AMD-N97-L_crop_0216-0315-0680_Vglut3	M-AMD-N97-L_crop_0216-0315-0680_Vglut3	train	0216-0315-0680	24	31294.1	13309.0	46384.0	(512, 512, 256)	23.0	1.0
M-AMD-N97-L_crop_0370-1084-0961_Vglut3	M-AMD-N97-L_crop_0370-1084-0961_Vglut3	train	0370-1084-0961	28	40884.5	2505.0	65191.0	(512, 512, 256)	26.0	2.0
M-AMD-N97-L_crop_0632-0340-0948_Vglut3	M-AMD-N97-L_crop_0632-0340-0948_Vglut3	train	0632-0340-0948	25	38005.0	5880.0	92573.0	(512, 512, 256)	25.0	0.0
M-AMD-N97-L_crop_0713-0668-0278_Vglut3	M-AMD-N97-L_crop_0713-0668-0278_Vglut3	train	0713-0668-0278	27	31857.7	2299.0	39825.0	(512, 512, 256)	26.0	1.0
M-AMD-N97-L_crop_0814-1382-0617_Vglut3	M-AMD-N97-L_crop_0814-1382-0617_Vglut3	train	0814-1382-0617	30	21002.1	3919.0	28632.0	(512, 512, 256)	27.0	3.0
M-AMD-N97-L_crop_1263-1267-1107_Vglut3	M-AMD-N97-L_crop_1263-1267-1107_Vglut3	train	1263-1267-1107	5	14420.4	1549.0	24619.0	(512, 512, 256)	5.0	0.0
M_AMD_OTOF2_L_crop_0700-1050-0435	M-AMD-OTOF2-L_crop_0700-1050-0435	train	0700-1050-0435	32	20293.1	1556.0	27014.0	(512, 512, 512)	31.0	1.0
M_AMD_OTOF2_L_crop_1020-0375-0871	M-AMD-OTOF2-L_crop_1020-0375-0871	train	1020-0375-0871	29	30702.3	5183.0	52347.0	(512, 512, 512)	29.0	0.0
M-LR-000249-R_crop_0800-0680-0277_Vglut3	M-LR-000249-R_crop_0800-0680-0277_Vglut3	train	0800-0680-0277	16	19665.1	9351.0	26706.0	(512, 512, 256)	15.0	1.0
M-LR-000249-R_crop_0844-0763-1247_Vglut3	M-LR-000249-R_crop_0844-0763-1247_Vglut3	train	0844-0763-1247	17	27391.3	1784.0	36652.0	(512, 512, 256)	15.0	2.0
MOTOF1L_0580-1175-1000	M-AMD-OTOF1-L_crop_0580-1175-1000_Vglut3	train	0580-1175-1000	20	34037.9	17604.0	44700.0	(330, 512, 512)	18.0	2.0
MOTOF1L_1330-0800-0820	M-AMD-OTOF1-L_crop_1330-0800-0820_Vglut3	train	1330-0800-0820	44	33902.7	3036.0	58743.0	(512, 512, 512)	33.0	11.0
171R_Vglut3_apexIHC_HCAT_C1_val	M-LR-000171-R_apex_01_Vglut3	val	unknown	16	53060.8	8027.0	88967.0	(171, 256, 888)	16.0	0.0
