Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
M-AMD-N153-L_crop_0704-0583-1064_Vglut3	M-AMD-N153-L_crop_0704-0583-1064_Vglut3	train	0704-0583-1064	22.0	50860.4	11469.0	79259	(512, 512, 256)	18.0	4.0
M-AMD-N153-L_crop_0704-0814-0162_Vglut3	M-AMD-N153-L_crop_0704-0814-0162_Vglut3	train	0704-0814-0162	32.0	31509.2	2953.0	38463	(512, 512, 256)	29.0	3.0
M-AMD-N153-L_crop_0731-0114-0523_Vglut3	M-AMD-N153-L_crop_0731-0114-0523_Vglut3	train	0731-0114-0523	33.0	23661.0	6891.0	31887	(512, 512, 256)	27.0	6.0
M-AMD-N153-L_crop_0912-1329-0709_Vglut3	M-AMD-N153-L_crop_0912-1329-0709_Vglut3	train	0912-1329-0709	25.0	38229.5	25591.0	47427	(512, 512, 256)	24.0	1.0
M-AMD-N153-L_crop_1197-0749-0511_Vglut3	M-AMD-N153-L_crop_1197-0749-0511_Vglut3	train	1197-0749-0511	34.0	40163.9	13038.0	48476	(512, 512, 256)	31.0	3.0
M-AMD-N75-L_crop_0805-1405-0846_Vglut3	M-AMD-N75-L_crop_0805-1405-0846_Vglut3	train	0805-1405-0846	30.0	20320.5	1051.0	29744	(512, 512, 256)	30.0	0.0
M-AMD-N75-L_crop_0864-0643-0355_Vglut3	M-AMD-N75-L_crop_0864-0643-0355_Vglut3	train	0864-0643-0355	20.0	44197.1	13572.0	63574	(512, 512, 256)	18.0	2.0
M-AMD-N75-L_crop_0866-0564-1193_Vglut3	M-AMD-N75-L_crop_0866-0564-1193_Vglut3	train	0866-0564-1193	22.0	22994.0	3858.0	29495	(512, 512, 256)	22.0	0.0
M-AMD-N89-L_crop_0537-0266-0563_Vglut3	M-AMD-N89-L_crop_0537-0266-0563_Vglut3	train	0537-0266-0563	18.0	19704.3	12457.0	29967	(512, 512, 256)	15.0	3.0
M-AMD-N89-L_crop_0693-0793-0189_Vglut3	M-AMD-N89-L_crop_0693-0793-0189_Vglut3	train	0693-0793-0189	21.0	24204.4	2344.0	48082	(512, 512, 256)	21.0	0.0
M-AMD-N89-L_crop_0749-1318-0423_Vglut3	M-AMD-N89-L_crop_0749-1318-0423_Vglut3	train	0749-1318-0423	37.0	27935.5	2416.0	41715	(512, 512, 256)	35.0	2.0
M-AMD-N89-L_crop_0902-0574-0987_Vglut3	M-AMD-N89-L_crop_0902-0574-0987_Vglut3	train	0902-0574-0987	39.0	33110.2	2077.0	48912	(512, 512, 256)	37.0	2.0
M-AMD-N89-L_crop_1166-0628-0470_Vglut3	M-AMD-N89-L_crop_1166-0628-0470_Vglut3	train	1166-0628-0470	36.0	32193.6	5153.0	56524	(512, 512, 256)	35.0	1.0
M-AMD-N89-L_crop_1232-1212-0457_Vglut3	M-AMD-N89-L_crop_1232-1212-0457_Vglut3	train	1232-1212-0457	36.0	24266.1	2347.0	41693	(512, 512, 256)	35.0	1.0
M-AMD-N89-L_crop_1245-1102-1004_Vglut3	M-AMD-N89-L_crop_1245-1102-1004_Vglut3	train	1245-1102-1004	31.0	20891.0	8856.0	25346	(512, 512, 256)	30.0	1.0
M-AMD-N97-L_crop_0198-0855-0380_Vglut3	M-AMD-N97-L_crop_0198-0855-0380_Vglut3	train	0198-0855-0380	30.0	35597.7	4525.0	44922	(512, 512, 256)	29.0	1.0
M-AMD-N97-L_crop_0216-0315-0680_Vglut3	M-AMD-N97-L_crop_0216-0315-0680_Vglut3	train	0216-0315-0680	24.0	31294.1	13309.0	46384	(512, 512, 256)	23.0	1.0
M-AMD-N97-L_crop_0370-1084-0961_Vglut3	M-AMD-N97-L_crop_0370-1084-0961_Vglut3	train	0370-1084-0961	28.0	40884.5	2505.0	65191	(512, 512, 256)	26.0	2.0
M-AMD-N97-L_crop_0632-0340-0948_Vglut3	M-AMD-N97-L_crop_0632-0340-0948_Vglut3	train	0632-0340-0948	25.0	38005.0	5880.0	92573	(512, 512, 256)	25.0	0.0
M-AMD-N97-L_crop_0713-0668-0278_Vglut3	M-AMD-N97-L_crop_0713-0668-0278_Vglut3	train	0713-0668-0278	27.0	31857.7	2299.0	39825	(512, 512, 256)	26.0	1.0
M-AMD-N97-L_crop_0814-1382-0617_Vglut3	M-AMD-N97-L_crop_0814-1382-0617_Vglut3	train	0814-1382-0617	30.0	21002.1	3919.0	28632	(512, 512, 256)	27.0	3.0
M-AMD-N97-L_crop_1263-1267-1107_Vglut3	M-AMD-N97-L_crop_1263-1267-1107_Vglut3	train	1263-1267-1107	5.0	14420.4	1549.0	24619	(512, 512, 256)	5.0	0.0
M_AMD_OTOF2_L_crop_0700-1050-0435	M-AMD-OTOF2-L_crop_0700-1050-0435	train	0700-1050-0435	32.0	20293.1	1556.0	27014	(512, 512, 512)	31.0	1.0
M_AMD_OTOF2_L_crop_1020-0375-0871	M-AMD-OTOF2-L_crop_1020-0375-0871	train	1020-0375-0871	29.0	30702.3	5183.0	52347	(512, 512, 512)	29.0	0.0
M-LR-000249-R_crop_0609-1430-0651_Vglut3	M-LR-000249-R_crop_0609-1430-0651_Vglut3	train	0609-1430-0651	24.0	30351.8	14147.0	38710	(512, 512, 256)	23.0	1.0
M-LR-000249-R_crop_0800-0680-0277_Vglut3	M-LR-000249-R_crop_0800-0680-0277_Vglut3	train	0800-0680-0277	16.0	19665.1	9351.0	26706	(512, 512, 256)	15.0	1.0
M-LR-000249-R_crop_0844-0763-1247_Vglut3	M-LR-000249-R_crop_0844-0763-1247_Vglut3	train	0844-0763-1247	17.0	27391.3	1784.0	36652	(512, 512, 256)	15.0	2.0
MOTOF1L_0580-1175-1000	M-AMD-OTOF1-L_crop_0580-1175-1000_Vglut3	train	0580-1175-1000	20.0	34037.9	17604.0	44700	(330, 512, 512)	18.0	2.0
MOTOF1L_1330-0800-0820	M-AMD-OTOF1-L_crop_1330-0800-0820_Vglut3	train	1330-0800-0820	44.0	33902.7	3036.0	58743	(512, 512, 512)	33.0	11.0
