Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
MLR1512R_tile1_PV_C3_empty	M-LR-000151-R_crop_01-03_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile1_PV_C4_empty	M-LR-000151-R_crop_01-04_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile1_PV_C5_empty	M-LR-000151-R_crop_01-05_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile2_PV_C3_HCs_empty	M-LR-000151-R_crop_02-03_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile2_PV_C6_empty	M-LR-000151-R_crop_02-06_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile3_PV_C4_empty	M-LR-000151-R_crop_03-04_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile3_PV_C5_empty	M-LR-000151-R_crop_03-05_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile4_PV_C3_empty	M-LR-000151-R_crop_04-03_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR1512R_tile4_PV_C4_empty	M-LR-000151-R_crop_04-04_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR151R_PV_C2	M-LR-000151-R_crop_02_PV	train	unknown	95	10806.1	1024.0	34121.0	(64, 256, 256)	92.0	3.0
MLR151R_PV_C3	M-LR-000151-R_crop_03_PV	train	unknown	53	11961.7	1289.0	23581.0	(64, 256, 256)	50.0	3.0
MLR151R_PV_C4	M-LR-000151-R_crop_04_PV	train	unknown	79	11731.8	1100.0	28647.0	(64, 256, 256)	76.0	3.0
MLR151R_PV_C5_empty	M-LR-000151-R_crop_05_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
MLR167R_PV_C2	M-LR-000167-R_crop_02_PV	train	unknown	75	12871.3	1077.0	29372.0	(64, 256, 256)	71.0	4.0
MLR167R_PV_C3	M-LR-000167-R_crop_03_PV	train	unknown	77	10029.1	1075.0	20680.0	(64, 256, 256)	71.0	6.0
MLR167R_PV_C4	M-LR-000167-R_crop_04_PV	train	unknown	99	9559.1	1106.0	18925.0	(64, 256, 256)	91.0	8.0
MLR172R_PV_C1	M-LR-000172-R_crop_01_PV	train	unknown	43	15081.0	1716.0	45175.0	(64, 256, 256)	42.0	1.0
MLR172R_PV_C2	M-LR-000172-R_crop_02_PV	train	unknown	115	6585.9	1094.0	28359.0	(64, 256, 256)	111.0	4.0
MLR172R_PV_C4	M-LR-000172-R_crop_04_PV	train	unknown	150	6698.5	1128.0	12572.0	(64, 256, 256)	145.0	5.0
MLR172R_PV_C6	M-LR-000172-R_crop_06_PV	train	unknown	15	5677.9	1577.0	9570.0	(64, 256, 256)	14.0	1.0
M-AMD-N129-L_crop_0861-0862-0788_PV	M-AMD-N129-L_crop_0861-0862-0788_PV	val	0861-0862-0788	177	7076.8	1088.0	12842.0	(96, 256, 256)	153.0	24.0
M-AMD-N75-L_crop_0862-0850-0557_PV	M-AMD-N75-L_crop_0862-0850-0557_PV	val	0862-0850-0557	161	9206.4	1018.0	24431.0	(96, 256, 256)	145.0	16.0
M_LR_000145_L_PV_resized_crop_0352-0759-1100_empty	M-LR-000145-L-resized_crop_0352-0759-1100_PV_empty	val	0352-0759-1100	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M_LR_000167_R_crop_1137-0669-1044	M-LR-000167-R_crop_1137-0669-1044_PV	val	1137-0669-1044	219	9908.7	1163.0	18843.0	(96, 256, 256)	195.0	24.0
MLR167R_PV_C1	M-LR-000167-R_crop_01_PV	val	unknown	149	10201.9	1011.0	20394.0	(64, 256, 256)	142.0	7.0
MLR172R_PV_C3	M-LR-000172-R_crop_03_PV	val	unknown	32	7129.4	1136.0	13886.0	(64, 256, 256)	29.0	3.0
