Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
G-LR-000234-L_crop_1287-1688-0999_Vglut3	G-LR-000234-L_crop_1287-1688-0999_Vglut3	train		17	31086.1	4367	39701	(128, 392, 392)	17	0
G-LR-000234-R_crop_0129-0980-0780_Vglut3	G-LR-000234-R_crop_0129-0980-0780_Vglut3	train		5	31156.6	21422	38796	(128, 392, 392)	5	0
G-LR-000234-R_crop_0253-0964-1213_Vglut3	G-LR-000234-R_crop_0253-0964-1213_Vglut3	train		7	37575.7	7639	52007	(128, 392, 392)	6	1
G-LR-000234-R_crop_0417-0646-0280_Vglut3	G-LR-000234-R_crop_0417-0646-0280_Vglut3	train		19	40589.2	13675	63123	(128, 392, 392)	17	2
G-LR-000234-R_crop_0619-1216-0902_Vglut3	G-LR-000234-R_crop_0619-1216-0902_Vglut3	train		7	34896.2	32174	39194	(128, 392, 392)	5	2
G-LR-000234-R_crop_0800-0702-1481_Vglut3	G-LR-000234-R_crop_0800-0702-1481_Vglut3	train		17	39096.4	10139	49892	(128, 392, 392)	17	0
G-LR-000234-R_crop_0874-0165-0374_Vglut3	G-LR-000234-R_crop_0874-0165-0374_Vglut3	train		10	45142.4	7419	63751	(128, 392, 392)	10	0
G-LR-000234-R_crop_0909-1103-1225_Vglut3	G-LR-000234-R_crop_0909-1103-1225_Vglut3	train		17	35332.0	22433	42614	(128, 392, 392)	17	0
G-LR-000234-R_crop_0974-1345-0696_Vglut3	G-LR-000234-R_crop_0974-1345-0696_Vglut3	train		7	21474.4	1635	32072	(128, 392, 392)	7	0
G-LR-000234-R_crop_1301-0491-1107_Vglut3	G-LR-000234-R_crop_1301-0491-1107_Vglut3	train		5	37682.8	24078	45196	(128, 392, 392)	5	0
G-LR-000234-R_crop_1344-0554-0668_Vglut3	G-LR-000234-R_crop_1344-0554-0668_Vglut3	train		7	27896.9	1280	40566	(128, 392, 392)	7	0
G-LR-000234-R_crop_1374-1001-0846_Vglut3	G-LR-000234-R_crop_1374-1001-0846_Vglut3	train		7	25861.4	9423	36098	(128, 392, 392)	7	0
M226L_Vglut3_0516-1274-1078	M-LR-000226-L_crop_0516-1274-1078_Vglut3	train	0516-1274-1078	12	31202.0	4272	41865	(64, 256, 256)	12	0
M226L_Vglut3_2021-3268-1902	M-LR-000226-L_crop_2021-3268-1902_Vglut3	train	2021-3268-1902	7	30437.0	12834	39636	(128, 512, 512)	7	0
M226L_Vglut3_basep2720_empty	M-LR-000226-L_base_Vglut3_empty	train	unknown	0	0.0	0	0	(200, 400, 400)	0	0
M-AMD-000088-R_crop_0176-0854-0259_Vglut3	M-AMD-000088-R_crop_0176-0854-0259_Vglut3	train	0176-0854-0259	22	36240.7	9109	65937	(512, 512, 256)	21	1
M-AMD-000088-R_crop_0397-1135-0871_Vglut3	M-AMD-000088-R_crop_0397-1135-0871_Vglut3	train	0397-1135-0871	36	44193.3	3322	85406	(512, 512, 256)	36	0
M-AMD-000088-R_crop_0735-0517-1044_Vglut3	M-AMD-000088-R_crop_0735-0517-1044_Vglut3	train	0735-0517-1044	24	29341.2	5334	55768	(512, 512, 256)	24	0
M-AMD-000088-R_crop_0797-1042-0322_Vglut3	M-AMD-000088-R_crop_0797-1042-0322_Vglut3	train	0797-1042-0322	18	41623.8	4180	94466	(512, 512, 256)	18	0
M-AMD-000088-R_crop_1106-0696-0771_Vglut3	M-AMD-000088-R_crop_1106-0696-0771_Vglut3	train	1106-0696-0771	22	30960.9	7882	37296	(512, 512, 256)	22	0
M-AMD-000112-L_crop_0499-1081-0595_Vglut3	M-AMD-000112-L_crop_0499-1081-0595_Vglut3	train	0499-1081-0595	26	23873.7	4155	36076	(512, 512, 256)	26	0
M-AMD-000112-L_crop_0572-0367-0357_Vglut3	M-AMD-000112-L_crop_0572-0367-0357_Vglut3	train	0572-0367-0357	28	30997.4	1539	56977	(512, 512, 256)	28	0
M-AMD-000112-L_crop_1050-0572-0259_Vglut3	M-AMD-000112-L_crop_1050-0572-0259_Vglut3	train	1050-0572-0259	26	44839.4	1068	85904	(512, 512, 256)	26	0
M-AMD-N142-R_crop_0477-0765-0124_Vglut3	M-AMD-N142-R_crop_0477-0765-0124_Vglut3	train	0477-0765-0124	28	36547.6	3387	47265	(512, 512, 256)	28	0
M-AMD-N142-R_crop_0818-1353-0331_Vglut3	M-AMD-N142-R_crop_0818-1353-0331_Vglut3	train	0818-1353-0331	26	36061.0	6695	47902	(512, 512, 256)	26	0
M-AMD-N142-R_crop_0868-0463-1046_Vglut3	M-AMD-N142-R_crop_0868-0463-1046_Vglut3	train	0868-0463-1046	25	16151.8	7894	23160	(512, 512, 256)	25	0
M-AMD-N142-R_crop_0875-1118-0956_Vglut3	M-AMD-N142-R_crop_0875-1118-0956_Vglut3	train	0875-1118-0956	27	24950.1	9724	40540	(512, 512, 256)	27	0
M-AMD-N142-R_crop_0922-0428-0309_Vglut3	M-AMD-N142-R_crop_0922-0428-0309_Vglut3	train	0922-0428-0309	18	40065.8	8384	55153	(512, 512, 256)	18	0
M-AMD-N142-R_crop_1213-0848-0665_Vglut3	M-AMD-N142-R_crop_1213-0848-0665_Vglut3	train	1213-0848-0665	26	33967.7	2353	47847	(512, 512, 256)	26	0
M-AMD-N153-L_crop_0704-0583-1064_Vglut3	M-AMD-N153-L_crop_0704-0583-1064_Vglut3	train	0704-0583-1064	19	50857.1	11469	79259	(512, 512, 256)	18	1
M-AMD-N153-L_crop_0704-0814-0162_Vglut3	M-AMD-N153-L_crop_0704-0814-0162_Vglut3	train	0704-0814-0162	29	31509.2	2953	38463	(512, 512, 256)	29	0
M-AMD-N153-L_crop_0731-0114-0523_Vglut3	M-AMD-N153-L_crop_0731-0114-0523_Vglut3	train	0731-0114-0523	28	23660.5	6891	31887	(512, 512, 256)	27	1
M-AMD-N153-L_crop_0912-1329-0709_Vglut3	M-AMD-N153-L_crop_0912-1329-0709_Vglut3	train	0912-1329-0709	25	38229.1	25591	47416	(512, 512, 256)	24	1
M-AMD-N153-L_crop_1197-0749-0511_Vglut3	M-AMD-N153-L_crop_1197-0749-0511_Vglut3	train	1197-0749-0511	32	40163.5	13038	48476	(512, 512, 256)	31	1
M-AMD-N75-L_crop_0805-1405-0846_Vglut3	M-AMD-N75-L_crop_0805-1405-0846_Vglut3	train	0805-1405-0846	30	20320.4	1051	29744	(512, 512, 256)	30	0
M-AMD-N75-L_crop_0864-0643-0355_Vglut3	M-AMD-N75-L_crop_0864-0643-0355_Vglut3	train	0864-0643-0355	19	44196.3	13572	63574	(512, 512, 256)	18	1
M-AMD-N75-L_crop_0866-0564-1193_Vglut3	M-AMD-N75-L_crop_0866-0564-1193_Vglut3	train	0866-0564-1193	22	22993.0	3858	29495	(512, 512, 256)	22	0
M-AMD-N89-L_crop_0537-0266-0563_Vglut3	M-AMD-N89-L_crop_0537-0266-0563_Vglut3	train	0537-0266-0563	17	19704.0	12457	29967	(512, 512, 256)	15	2
M-AMD-N89-L_crop_0693-0793-0189_Vglut3	M-AMD-N89-L_crop_0693-0793-0189_Vglut3	train	0693-0793-0189	21	24195.3	2344	48082	(512, 512, 256)	21	0
M-AMD-N89-L_crop_0749-1318-0423_Vglut3	M-AMD-N89-L_crop_0749-1318-0423_Vglut3	train	0749-1318-0423	36	27934.3	2416	41715	(512, 512, 256)	35	1
M-AMD-N89-L_crop_0902-0574-0987_Vglut3	M-AMD-N89-L_crop_0902-0574-0987_Vglut3	train	0902-0574-0987	37	33109.8	2077	48912	(512, 512, 256)	37	0
M-AMD-N89-L_crop_1166-0628-0470_Vglut3	M-AMD-N89-L_crop_1166-0628-0470_Vglut3	train	1166-0628-0470	35	32191.7	5153	56524	(512, 512, 256)	35	0
M-AMD-N89-L_crop_1232-1212-0457_Vglut3	M-AMD-N89-L_crop_1232-1212-0457_Vglut3	train	1232-1212-0457	36	24265.8	2347	41693	(512, 512, 256)	35	1
M-AMD-N89-L_crop_1245-1102-1004_Vglut3	M-AMD-N89-L_crop_1245-1102-1004_Vglut3	train	1245-1102-1004	31	20890.9	8856	25346	(512, 512, 256)	30	1
M-AMD-N97-L_crop_0198-0855-0380_Vglut3	M-AMD-N97-L_crop_0198-0855-0380_Vglut3	train	0198-0855-0380	29	35597.2	4524	44922	(512, 512, 256)	29	0
M-AMD-N97-L_crop_0216-0315-0680_Vglut3	M-AMD-N97-L_crop_0216-0315-0680_Vglut3	train	0216-0315-0680	24	31292.1	13309	46384	(512, 512, 256)	23	1
M-AMD-N97-L_crop_0370-1084-0961_Vglut3	M-AMD-N97-L_crop_0370-1084-0961_Vglut3	train	0370-1084-0961	26	40881.8	2505	65191	(512, 512, 256)	26	0
M-AMD-N97-L_crop_0632-0340-0948_Vglut3	M-AMD-N97-L_crop_0632-0340-0948_Vglut3	train	0632-0340-0948	25	38004.4	5880	92573	(512, 512, 256)	25	0
M-AMD-N97-L_crop_0713-0668-0278_Vglut3	M-AMD-N97-L_crop_0713-0668-0278_Vglut3	train	0713-0668-0278	27	31857.5	2299	39824	(512, 512, 256)	26	1
M-AMD-N97-L_crop_0814-1382-0617_Vglut3	M-AMD-N97-L_crop_0814-1382-0617_Vglut3	train	0814-1382-0617	28	20999.2	3919	28632	(512, 512, 256)	27	1
M_AMD_OTOF2_L_crop_0700-1050-0435	M-AMD-OTOF2-L_crop_0700-1050-0435	train	0700-1050-0435	31	20290.6	1556	27014	(512, 512, 512)	31	0
M_AMD_OTOF2_L_crop_1020-0375-0871	M-AMD-OTOF2-L_crop_1020-0375-0871	train	1020-0375-0871	29	30702.1	5183	52347	(512, 512, 512)	29	0
M-LR-000249-R_crop_0609-1430-0651_Vglut3	M-LR-000249-R_crop_0609-1430-0651_Vglut3	train	0609-1430-0651	24	30351.8	14147	38710	(512, 512, 256)	23	1
M-LR-000249-R_crop_0844-0763-1247_Vglut3	M-LR-000249-R_crop_0844-0763-1247_Vglut3	train	0844-0763-1247	16	27390.8	1784	36652	(512, 512, 256)	15	1
MOTOF1L_0580-1175-1000	M-AMD-OTOF1-L_crop_0580-1175-1000_Vglut3	train	0580-1175-1000	19	34037.7	17604	44700	(330, 512, 512)	18	1
MOTOF1L_1330-0800-0820	M-AMD-OTOF1-L_crop_1330-0800-0820_Vglut3	train	1330-0800-0820	33	33902.5	3036	58743	(512, 512, 512)	33	0
G_EK_000233_L_crop_0788-0937-0255_Vglut3	G_EK_000233_L_crop_0788-0937-0255_Vglut3	val	0788-0937-0255	15	32306.9	2158	40738	(96, 392, 392)	15	0
G-LR-000234-L_crop_0758-1065-0321_Vglut3	G-LR-000234-L_crop_0758-1065-0321_Vglut3	val		16	32194.8	7291	37698	(128, 392, 392)	15	1
G-LR-000234-R_crop_0918-0963-0394_Vglut3	G-LR-000234-R_crop_0918-0963-0394_Vglut3	val		20	31073.4	8260	40726	(128, 392, 392)	20	0
M226L_Vglut3_2216-0850-1675	M-LR-000226-L_crop_2216-0850-1675_Vglut3	val	2216-0850-1675	8	29823.5	2194	77053	(96, 256, 256)	8	0
M-AMD-000088-R_crop_0723-0383-0381_Vglut3	M-AMD-000088-R_crop_0723-0383-0381_Vglut3	val	0723-0383-0381	26	30503.7	1507	42958	(512, 512, 256)	25	1
M-AMD-000112-L_crop_1088-0500-1142_Vglut3	M-AMD-000112-L_crop_1088-0500-1142_Vglut3	val	1088-0500-1142	28	41689.6	1022	52453	(512, 512, 256)	27	1
M-AMD-N153-L_crop_0478-1191-0754_Vglut3	M-AMD-N153-L_crop_0478-1191-0754_Vglut3	val	0478-1191-0754	33	40913.8	1750	65104	(512, 512, 256)	33	0
M-AMD-N97-L_crop_1263-1267-1107_Vglut3	M-AMD-N97-L_crop_1263-1267-1107_Vglut3	val	1263-1267-1107	5	14420.4	1549	24619	(512, 512, 256)	5	0
M-LR-000249-R_crop_0800-0680-0277_Vglut3	M-LR-000249-R_crop_0800-0680-0277_Vglut3	val	0800-0680-0277	16	19665.1	9351	26706	(512, 512, 256)	15	1
